Country Name,Country Code,Series Name,Series Code,Year,Value
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,2000,78339750721.7352
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,5052.99245768719
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,3.84327295706565
Chile,CHL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Chile,CHL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,15055115211.0232
Chile,CHL,Lending interest rate (%),FR.INR.LEND,2000,14.8433912347788
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,2000,1211331651866.09
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,959.360431369138
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,0.347811226864587
China,CHN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,145906872763.7
China,CHN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,171763098225.843
China,CHN,Lending interest rate (%),FR.INR.LEND,2000,5.85
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,2000,99875074951.0278
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,2555.00751039968
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,9.22534818585366
Colombia,COL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,34329248550.6
Colombia,COL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,9005870484.66315
Colombia,COL,Lending interest rate (%),FR.INR.LEND,2000,18.7866666666667
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,2000,351136579.648632
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,655.007796688241
Comoros,COM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Comoros,COM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,232285377.4
Comoros,COM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,43370718.713776
Comoros,COM,Lending interest rate (%),FR.INR.LEND,2000,12.0
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,2000,19088046305.7971
